Index,Kr,Jp
키,,DzxZQdCmi78
서클,마이마이,舞々
작사,니시지마 마이,にしじままい
보컬,니시지마 마이,にしじままい
편곡,코야부 와다이,小藪和大
일러스트,코하루,こはる
곡명,중독되어버린 "사랑",Addicted"AI"
원곡,하르트만의 요괴소녀,ハルトマンの妖怪少女
